pid;name;mpc;cpu;mem;rss_mem;virt_mem;disk_io;disk_read;disk_write
20596;Fluent Bit;1;0.0;9.28125;7.5;1.78125;0.07946491241455078;0.07927131652832031;0.00019359588623046875
20596;Fluent Bit;2;5.9;10.921875;8.3359375;2.5859375;0.07946491241455078;0.07927131652832031;0.00019359588623046875
20596;Fluent Bit;3;88.6;12.02734375;8.765625;3.26171875;0.07946491241455078;0.07927131652832031;0.00019359588623046875
20596;Fluent Bit;4;85.3;24.92578125;15.32421875;9.6015625;0.07946491241455078;0.07927131652832031;0.00019359588623046875
20596;Fluent Bit;5;82.2;16.16015625;10.95703125;5.203125;0.07946491241455078;0.07927131652832031;0.00019359588623046875
20596;Fluent Bit;6;85.9;25.80859375;15.66015625;10.1484375;0.07946491241455078;0.07927131652832031;0.00019359588623046875
20596;Fluent Bit;7;76.4;16.546875;11.05859375;5.48828125;0.07946491241455078;0.07927131652832031;0.00019359588623046875
20596;Fluent Bit;8;88.3;28.12109375;16.84375;11.27734375;0.07946491241455078;0.07927131652832031;0.00019359588623046875
20596;Fluent Bit;9;85.3;15.6328125;10.4140625;5.21875;0.07946491241455078;0.07927131652832031;0.00019359588623046875
20596;Fluent Bit;10;79.4;28.2109375;16.90625;11.3046875;0.07946491241455078;0.07927131652832031;0.00019359588623046875
20596;Fluent Bit;11;88.1;16.66796875;11.13671875;5.53125;0.07946491241455078;0.07927131652832031;0.00019359588623046875
20596;Fluent Bit;12;80.0;25.9296875;15.75390625;10.17578125;0.07946491241455078;0.07927131652832031;0.00019359588623046875
20596;Fluent Bit;13;91.2;21.9296875;13.765625;8.1640625;0.07946491241455078;0.07927131652832031;0.00019359588623046875
20596;Fluent Bit;14;70.6;27.6875;16.5390625;11.1484375;0.07946491241455078;0.07927131652832031;0.00019359588623046875
20596;Fluent Bit;15;82.4;19.53125;12.3359375;7.1953125;0.07946491241455078;0.07927131652832031;0.00019359588623046875
20596;Fluent Bit;16;79.3;14.484375;10.00390625;4.48046875;0.07946491241455078;0.07927131652832031;0.00019359588623046875
20596;Fluent Bit;17;85.9;19.9609375;12.76171875;7.19921875;0.07946491241455078;0.07927131652832031;0.00019359588623046875
20596;Fluent Bit;18;88.1;11.984375;8.74609375;3.23828125;0.07946491241455078;0.07927131652832031;0.00019359588623046875
20596;Fluent Bit;19;82.4;24.9765625;15.3046875;9.671875;0.07946491241455078;0.07927131652832031;0.00019359588623046875
20596;Fluent Bit;20;82.4;15.33984375;10.50390625;4.8359375;0.07946491241455078;0.07927131652832031;0.00019359588623046875
19636;Fluentd;1;0.0;3.04296875;1.546875;1.49609375;0.0021791458129882812;0.0021791458129882812;0.0
